Title,Attachment Text,Start Date,End Date
India Philippines Joint Call for R & D Proposals,"IMPLEMENTING GUIDELINES BETWEEN THE DEPARTMENT OF SCIENCE AND 
TECHNOLOGY OF THE REPUBLIC OF THE PHILIPPINES AND THE DEPARTMENT 
OF SCIENCE AND TECHNOLOGY OF THE REPUBLIC OF INDIA ON THE CALL FOR 
PROPOSALS FOR THE JOINT R&D 
 
In accordance with the provision of Article II of the Programme of Cooperation (POC) in the fields 
of Science and Technology for the period of 2019-2022 between the Department of Science and 
Technology (DST) of The Republic of India and the Department of Science and Technology 
(DOST) of The Republic of the Philippines, the Sides have agreed on the following joint guidelines 
for implementation: 
 
 
 Joint Research Programs 
 
(1) Purpose 
 
The purpose of these projects is to further advance existing cooperation while establishing a 
concrete partnership between the two countries by supporting team-to-team collaboration 
based on the agreed areas of collaboration stated on Article II of the POC. 
 
(2) Format and Eligibility 
 
Joint research projects (JRP) are to be carried out by involved researchers and team from the 
two counties. The Filipino and Indian project leaders must hold a full-time position at a higher 
educational establishment or research and development institution in their respective countries. 
 
(3) Research Areas, Number and Duration of Projects 
 
Research Areas: (1) Virology, (2) Applications of Artificial Intelligence on diverse areas such as 
Agriculture, Health, and Smart Cities, (3) Blockchain Technologies on Government 
Services/Processes, and (4) Additive Manufacturing of new materials (metal and ceramics) 
 
Number of projects: 1-3 projects 
Duration: Two years per project 
 
(4) Financial Support 
 
No cross-border funding will be allowed in the implementation of the joint research program, 
respectively. 
 
DOST will provide a funding of up to PHP5,000,000.00 for each research project to cover all 
relevant expenses. Likewise, the DST will provide not more than 75 Lakh for the funding of 
exchange visits, ",21/10/2021,17/01/2022
Optimal Water Use in Industrial Sector-2021: Date extended till 31.01.2022,"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE AND TECHNOLOGY 
Technology Mission Division (Energy, Water & Others) 
 
Call for Proposals 
for 
Optimal Water Use in Industrial Sectors-2021 
(Focus Areas: Water Conservation, Water Use efficiency, 
Waste Water Recovery and Utilization of Residues) 
 
1. 
Preamble 
The water resources scenario of the country is changing fast adversely in terms of 
access, quantity as well as quality. The situation is further aggravated by  the 
looming impact of climate change- which will alter the paradigm of management of 
water resources. Water is a critical natural resource and is being affected by 
increasing industrialization, urbanization, pollution, deforestation and above all 
climate change. Addressing the growing demand for water to satisfy our imminent 
needs for drinking, sanitation, irrigation and industry would alone be possible by 
striking a judicious balance between collection, storage, consumption and innovative 
reuse. Industry is one of the important users of water and the optimal use of water in 
the various industrial sectors is going to be more crucial in the coming decades. 
There are three dimensions of the industrial optimality, namely: (1) minimum specific 
water footprint in all sectors, (2) incorporation of appropriate technologies to 
conserve water during production and consumption of the industrial products, and 
(3) incorporation of the best available technologies to achieve the so-called “circular 
economy” approach to treatment of wastewaters and sewages as well as by 
enhancing reuse of water. 
2. Objective of the Call 
 
The objective of the call is to develop knowledge through R&D and demonstration 
and developing solutions in the context of Water Conservation, Waste Water 
Treatment and Water use efficiency in Industry. The focus is on Research and 
Development proposals, where R&D and private sector work together to design 
generic solutions for optimal water mana",07/10/2021,31/01/2022
"Call for Ignition Grants titled ""Technology-based Energy Solutions: Innovations for Net Zero""",,16/12/2021,15/02/2022
Call for proposals under DST's TEC Program: Date extended till 15.02.2022,"  
Page 1 of 3  
  
GOVERNMENT OF INDIA    
MINISTRY OF SCIENCE & TECHNOLOGY    
DEPARTMENT OF SCIENCE & TECHNOLOGY    
  
2nd CALL FOR PROPOSALS  
TO ESTABLISH   
TECHNOLOGY ENABLING CENTRES (TEC) IN UNIVERSITY SYSTEM  
  
Academia is the prime resource in any country for generating new knowledge and its 
conversion to wealth. However, absence of effective institutional mechanisms in 
academia for translating R&D output into technological wealth is a big impediment. TDT 
Division has been implementing Technology related programmes since the inception of 
DST. Its success in terms of indigenous technology development has been satisfactory; 
however, the contribution to this from the University system is yet to be optimized. It has 
been deliberated several times on institutionalizing industry academia interaction, 
wherein creation of an enabling ecosystem has always emerged as an issue remaining to 
be effectively tackled.   
  
Establishment of Technology Enabling Centres (TEC) in the University System is a step 
forward in this direction.  
  
The objective of TEC will be to create an Ecosystem for Technology Development in the 
Universities and to provide a platform to network researchers with other Institutes, 
National laboratories and Industry. The focus of Centres will be on providing an 
enabling eco system, process and support system for technology development, 
deployment and diffusion.   
  
Initially TECs will be supported for period of three years with a maximum support 
of upto 1 crore per year. The progress of Centres will be monitored every six months 
for two years and annually later. The Centres will be evaluated after three years for 
continuity and may be further extended for two years depending upon their performance. 
The proposed mandate, activities, evaluation criteria will be periodically reviewed & 
modified while evaluating the performance of TEC to have a dynamic program.   
  
TEC is not a departmental/individual PI based activity. Owne",03/01/2022,15/02/2022
Seeking full proposals under 5th BRICS call from shortlisted Project Investigators (2nd Stage submission) - Date Extended till 5th May 2022,"BRICS STI Framework Programme  
5thcoordinated call for BRICS multilateral projects 2021 
 
Part 2 of National Annexure 
 
1.  
GOAL OF BRICS COORDINATED CALL: 
 
The BRICS STI Framework Programme aims to support excellent research on priority areas that canbest 
be addressed by a multinational approach. The initiative should facilitate cooperation among the 
researchers and institutions in the consortia which consist of partners from at least three of the BRICS 
countries. 
 
2.   
FUNDING AGENCIES:  
 
Following research funding organizations from the BRICS countries have agreed to support BRICS 
Call:  
 
• Brazil:  
 
National Council for Scientific and Technological Development (CNPq)  
• Russia:  
 
Foundation for Assistance to Small Innovative Enterprises (FASIE)  
 
Ministry of Science and Higher Education (MSHE) 
• India:  
 
Department of Biotechnology (DBT), Ministry of Science and Technology  
 
Department of Science and Technology (DST), Ministry of Science and Technology  
• China:  
 
Ministry of Science and Technology (MOST)  
 
National Natural Science Foundation of China (NSFC)  
• South Africa:  
 
Department of Science and Innovation (DSI) 
 
National Research Foundation (NRF) 
 
South African Medical Research Council (SAMRC) 
 
Technology Innovation Agency (TIA) 
 
Water Research Commission (WRC) 
 
3.  
Aim of the Joint Call and Thematic areas 
 
To support collaborative multilateral basic, applied or innovation research projects in the following 
thematic areas can be submitted in response to the call 
 
1) 
Transient astronomical events and Deep Survey science; 
2) 
Antimicrobial resistance: technologies for diagnosis and treatment; 
3) 
Simulation and big data analytics for advanced precision medicine and public healthcare; 
4) 
High Performance Computing (HPC) and BigData for Sustainable Development: Solving Large 
Scale Ecological, Climate and Pollution problems; 
5) 
Innovation and entrepreneurship on Photonic, Nano-photonics and metamate",09/02/2022,05/05/2022
"Joint Call for project proposals 2022 Indo-Danish research and innovation cooperation in the area of ""Green fuels including green hydrogen"" - Date Extended till 22 June 2022","    
 
 
 
 
 
 
Joint Call for project proposals 2022 
Indo-Danish research and innovation cooperation in the area of 
“Green fuels including green hydrogen” 
 
 
Announcement of Call for Proposals:  February 04, 2022 
Deadline for Submitting Proposals:        June 22, 2022 (12.00 Danish Time, 17.30 Indian Time)  
 
Innovation Fund Denmark (IFD), and Department of Science and Technology (DST), Ministry of Science 
& Technology, Government of India, announces this joint call for submission of project proposal in 
“Green fuels including green hydrogen”. This is in pursuance to the agreement of May 22, 2018, 
between the Government of the Republic of India and the Government of Denmark on cooperation in the 
fields of Science, Technology and Innovation, the Green Strategic Partnership between India and 
Denmark and the detailed 5-year Action Plan (2021-2026). 
1. PRIORITISED RESEARCH AND INNOVATION AREAS  
The target of this India - Denmark call is to enhance value creation through research and innovation for 
the development of new technologies, solutions, services and business models related to the following 
topics: 
Green fuels including green hydrogen 
Green fuels for transport and industry (Power-to-X, etc.). Solutions to convert electricity from renewable 
energy into products that can be used to reduce emissions from parts of the transport and industrial 
sectors where there are no cost-effective alternatives to fossil energy.  
 
Projects can contribute to e.g.: - 
1. Renewables based green hydrogen production, storage and utilization 
2. Electrolysers and fuel cells  
3. Innovations on improving efficiency, boosting production capacity and finding robust, 
cheaper alternatives to the rare materials used in current electrolysers/fuel cells  
4. Support for the establishment of Gigawatt- scale electrolyser test centre.  
5. Manufacturing of electrolyser /fuel cell components such as membranes, stack integrators, 
suppliers of supporting technology and system i",09/02/2022,22/06/2022
Call for proposals for rare diseases under Chemical Therapeutics Program - Date Extended till 31st July 2022,"Therapeutic strategies for prevalent Rare/Orphan Disorders  
   
   
Rare genetic diseases are a public health concern in India, with an estimated burden 
of about 80 million cases. This is about one-fifth of the global burden. High-genetic 
disease prevalence has been noted in affected communities with high genetic 
relatedness between parents and the majority of rare diseases in India occur at birth 
due to recessive genetic defects. While many of the commonly occurring rare diseases 
have viable therapies, most of these therapeutic agents are patent protected and very 
expensive for the Indian user. Thus, there is a large unmet need for indigenously 
manufactured therapeutic agents for rare diseases. Currently, a few pharmaceutical 
companies are manufacturing drugs for rare diseases globally and there are no 
domestic manufacturers in India except for Food for Special Medical Purposes (FSMP) 
for small molecule inborn errors of metabolism.  
   
Objectives:  
The goal of this Call is to support milestone-driven proposals for the listed rare 
diseases (though not limited to) focused on:  
• 
To bring generic drugs which are off- patent.  
• 
To develop process chemistry for drugs under patent to make it affordable once 
patent expires.  
   
Scope:   
Research Groups working in process chemistry / formulations are encouraged to 
develop new process or unique technology establishment for existing drugs and (new) 
formulations to make it affordable as described in objectives.  
   
Following is the representative list of rare diseases which may be targeted for the 
proposals.  
Lysosomal storage disorders  
Gaucher disease  
Mucopolysaccharidoses (all types)  
Pompe disease  
Fabry disease  
Niemann Pick disease  
Metachromatic Leukodstrophy  
Krabbe disease  
Small molecule diseases:  Phenylketonuria, Maple Syrup Urine Disease (MSUD), 
Tyrosinemia etc  
 Neuromuscular Disorders: Spinal Muscular Atrophy (SMA), Dystrophinopathies /  
Duchenne muscular dystrophy, etc",17/06/2022,31/07/2022
DST DFG joint call on International Research Training Groups (IRTG) 2022," 
 
 
 
 
DST – DFG  announcement on funding opportunity for Indo-German Research 
Training Groups (IRTG) 
 
Background and Description of International Research Training Groups 
International Research Training Groups (IRTGs), in which German universities 
cooperate with research institutions in other countries, combine innovative top-level 
research and the structured promotion of excellent early career researchers. As 
bilateral collaborations set up by experienced scientists, IRTGs promote systematic 
scientific cooperation through joint research programmes and corresponding 
qualification measures for (post) doctoral researchers.  
A central feature of International Research Training Groups are coordinated and 
reciprocal research visits by doctoral researchers at the respective partner 
institutions. IRTGs can only be established by universities and research 
institutionsentitled to confer doctoral degrees.  
The Department of Science and Technology (DST), Government of India, and the 
German Research Foundation (Deutsche Forschungsgemeinschaft, DFG) have 
agreed on a joint application and funding scheme to support Indo-German 
International Research Training Groups. 
Structure of Indo-German Research Training Groups 
Applications for Indo-German IRTGs intended for DFG-DST funding are open to all 
subject areas covered by DST, and interdisciplinarity in joint projects is encouraged. 
An IRTG should be run by two teams of participating researchers in India and 
Germany, respectively. Each team should have approximately 5 to 10 members with 
proven expertise both in the IRTG’s main research topic and in providing outstanding 
supervision to doctoral students.  
The participating researchers’ expertise at the two locations should be 
complementary and provide added value to the IRTG. Each team of participating 
researchers in an IRTG should be based at a single institution in India and Germany, 
respectively. In convincingly justified cases, an IRTG may be based i",14/02/2022,01/08/2022
Advertisement for FIST 2022 Program," Ministry of Science & Technology  
Department of Science & Technology  
  
“Fund for Improvement of S&T Infrastructure in Universities and Higher  
Educational Institutions (FIST) Program – 2022” 
 
Proposals are invited online for consideration of support under the Scheme “Fund for Improvement of S&T 
Infrastructure (FIST)” of the Department of Science & Technology (DST), Government of India. The Scheme is 
intended to provide basic infrastructure and enabling facilities for promoting R&D activities in new and emerging 
areas and attracting fresh talents in universities & other educational institutions. It is considered as complimentary 
support for enabling Departments/ Centres/ Schools/ Colleges to pursue research activities more effectively and 
efficiently. The current emphasis on the immensely successful FIST programme is for orienting it towards the goal of 
Atmanirbhar Bharat by providing accessibility of the R&D infrastructure facilities not only for research activities in 
academic organizations but also for use by the start-ups/ manufacturing industries/ MSMEs. Appropriate 
mechanisms including use of the FIST facilities through multiple shifts are being encouraged through a public notice 
to promote optimal utilization of these resources. 
  
Nature of Support: The Scheme will provide optimal infrastructure facilities for post-graduate and higher research, 
such as, renovation of existing laboratory space (no fresh constructions) and cold room, modernization of 
laboratories involved in PG and higher research, acquisition of essential equipment, up-gradation of existing facilities, 
networking & computational facilities including software & databases, scientific & technical books (no journals), 
maintenance & refurbishing of existing and new facilities etc.. The facilities provided under the Program are intended 
to support the efforts of the Department as a whole or a number of faculty members in the Department. Proposal 
towards individual R&D support",24/06/2022,10/08/2022
Call for Proposals under Science Technology and Innovation (STI) Hubs for Development of SC and ST Communities - Date Extended till 16/08/2022," 
 
 
 
 
 
 
 
 
CALL FOR PROPOSALS 
 
 
 
 
 
 
 
SCIENCE FOR EQUITY EMPOWERMENT AND 
DEVELOPMENT (SEED) DIVISION 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
SCIENCE TECHNOLOGY AND INNOVATION (STI) 
HUBS FOR DEVELOPMENT OF SCHEDULED CASTE 
(SC) AND SCHEDULED TRIBE (ST) COMMUNITIES 
 
GENERAL INFORMATION & 
FORMAT FOR SUBMISSION OF PROJECT PROPOSALS 
 
GOVERNMENT OF INDIA  
MINISTRY OF SCIENCE AND TECHNOLOGY  
DEPARTMENT OF SCIENCE AND TECHNOLOGY  
 
Government of India  
Ministry of Science and Technology  
Department of Science and Technology Science for Equity Empowerment and 
Development (SEED) Division  
 
CALL FOR PROPOSALS (JUNE 2022) – STI HUBS 
 
(LAST DATE FOR SUBMISSION OF PROPOSALS: 16/08/2022) 
 
ESTABLISHMENT OF SCIENCE TECHNOLOGY AND INNOVATION (STI) 
HUBS FOR DEVELOPMENT OF SCHEDULED CASTE (SC) AND SCHEDULED 
TRIBE (ST) COMMUNITIES 
 
INTRODUCTION 
 
The Scheduled Castes (SC) and Scheduled Tribes (ST) comprise about 16.6% and 8.6%, 
respectively of India's population (2011 census) which is more than 25 % of the total 
population. The Department of Science and Technology is implementing various Schemes 
and Programmes for Human Capacity Building and Empowerment of SC and ST 
Communities through promotion of Research, Development, Adoption, Transfer and 
Dissemination and Delivery of Proven Technologies. The Science for Equity 
Empowerment and Development (SEED) Division is implementing various programmes 
under the Special Component Plan for Scheduled Castes (SCSP) and Tribal Sub Plan 
(TSP) Schemes for creation of sustainable livelihoods and holistic development of SC and 
ST Communities. However, the connotation of 'Development' has changed over a period 
of time. The initial attention of economic growth and economic development has now 
slowly moved on to include human perspective into the notion of development. Hence 
there is a need to strengthen the societal welfare system through delivery of science led 
solutions, development of location specific appropriat",10/06/2022,16/08/2022
Indo-Swedish Joint Call for Proposals within Circular Economy," 
2 
 
Indo-Swedish Joint Call for Proposals 
within Circular Economy 
 
 
A collaboration between: 
 
 
 
 
  
 
 
 
’ 
 
 
 
 
 
  
 
Call Text – Indo-Swedish Joint Call on Circular Economy 
 
 
2 
 
Contents 
Indo-Swedish Joint Call for Proposals within Circular Economy ........................... 2 
Description of the call ................................................................................................................... 3 
Introduction .................................................................................................................................. 3 
Purpose and focus ....................................................................................................................... 4 
Instructions to applicants ............................................................................................................. 5 
Who can apply? ........................................................................................................................... 5 
Project team ................................................................................................................................ 5 
How to apply ................................................................................................................................ 6 
Eligible costs ................................................................................................................................ 7 
Project duration and grant amount .............................................................................................. 7 
Language ..................................................................................................................................... 7 
Environmental considerations when planning your project ......................................................... 7 
Equal opportunities and inclusion ................................................................................................ 8 
Assessment of ap",15/06/2022,17/08/2022
PURSE 2022 (Special Call) Program,"Department of Science & Technology 
Ministry of Science & Technology 
Government of India 
Special Call for Proposals Under the Scheme “Promotion of University Research and 
Scientific Excellence” (PURSE-2022) 
Department of Science & Technology announces a “Special call” to provide basic 
infrastructure and enabling the facilities for promoting R&D activities in new and emerging 
areas of Science & Technology in the UGC recognized State funded Universities/Private 
Universities of North Eastern Region, Jammu & Kashmir, Chhattisgarh, Madhya Pradesh, 
Jharkhand, Bihar ,Haryana ,Telangana, Himachal Pradesh  and Rajasthan. It is a 
complimentary support for enabling the universities in these regions of the country to pursue 
research activities more effectively and efficiently. It is worthwhile to establish modern 
scientific infrastructure in  universities of these regions to keep its research enterprises at the 
National forefront.  
Nature of Support: The main objective of the scheme is to strengthen the research capacity 
of Indian Universities and provide support for nurturing the research ecosystem and 
strengthening the R&D base of the Universities in the country. The Scheme will provide the 
support to acquire research facilities (support for acquiring the teaching facilities will not be 
provided in the scheme), research man-power cost, acquiring research consumables, funds for 
travel, organizing workshops and conferences, contingencies and maintenance of the 
facilities. Universities are encouraged to harness their areas of excellence into an inter-
disciplinary thematic effort of an accomplished team, with clearly articulated objectives. 
Universities are also requested to identify the pockets of excellence through some process 
and shall allocate significant portion of PURSE support to those performance group rather 
that uniform allocation to performing and non-performing departments or groups. Universities 
are requested to send a consolidated proposal e",11/07/2022,20/08/2022
"Call for proposal-2022 under ""India-Japan Cooperative Science Programme","GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
 
INDIA-JAPAN COOPERATIVE SCIENCE PROGRAMME (IJCSP) 
CALL FOR PROPOSALS-2022 
 
 
 LAST DATE FOR SUBMISSION OF PROPOSALS: 6th September, 2022 
 
The Department of Science and Technology (DST), Ministry of Science & 
Technology, Government of India, New Delhi and the Japan Society for the Promotion 
of Science (JSPS) conduct the India-Japan Cooperative Science Programme (IJCSP) 
to promote bilateral scientific collaboration between Indian and Japanese scientists. 
Applications are invited from eligible Indian researchers /scientists to submit proposals 
for Joint Research Projects and Joint Workshops/Seminars under IJCSP.  
 
I.  Areas of cooperation: The support is available to the following scientific areas: 
(a) Physical Sciences 
(b) Chemical Sciences  
(c) Life Science & Agriculture 
(d) Mathematics & Computational Science 
(e) Astronomy & Earth Science 
(f) Materials & Engineering 
(g) COVID-19 related (Pre and post COVID) 
 
 
II. Who can apply:  
 The joint application must include one Indian and one Japanese Principal 
Investigators, who would be responsible for technical as well as administrative co-
ordination of the project and its periodic scientific and financial reporting to DST/ 
JSPS respectively.  
 The Principal Investigator (PI) and other investigators in India should be scientists/ 
faculty members working in regular capacity in Universities/ Deemed Universities/ 
Academic Institutes and National Research & Development Laboratories/ 
Institutes as well as working in private nonprofit institutions that carry on R&D 
activities. It is preferred that a member of the project team may be designated as 
Co-PI. The Indian Principal Investigator (PI) should not be retiring or leaving the 
parent institute during the proposed duration of the project. 
 The Japanese PIs must be full time researchers employed at Universities or other 
research institutions recogn",18/07/2022,06/09/2022
DST-Accelerating CCUS Technologies (ACT4) Call and Indian Funding Guidelines," 
 
 
 
The ACT4 Call 
Published 12 May 2022 
 
Introduction – ACT joining forces for implementation of CCUS 
 
Accelerating CCUS Technologies (ACT) is an initiative to facilitate the emergence of CO2 Capture, 
Utilisation and Storage (CCUS) via transnational funding of projects aimed at accelerating and maturing 
CCUS technology through targeted innovation and research activities. 
 
This document establishes the terms of the ACT4 call for proposals. Further information can be found on 
the ACT website: www.act-ccs.eu. 
 
Table of Contents 
1. 
INTRODUCTION .............................................................................................................................................1 
2. 
CALL BUDGET .................................................................................................................................................1 
3. 
OBJECTIVE OF THE ACT4 CALL ........................................................................................................................1 
4. 
ELIGIBILITY CRITERIA ......................................................................................................................................3 
5. 
SUBMISSION ..................................................................................................................................................4 
SUBMISSION AT ACT LEVEL ............................................................................................................................................................................... 4 
SUBMISSION AT NATIONAL LEVEL ...................................................................................................................................................................... 4 
GENERAL CONDITIONS ....................................................................................................................................................................................... 4 
6. 
EVALUATION PROCEDURE ..............",12/05/2022,12/09/2022
India Canada Joint Call for Proposal 2022 - Date Extended till 14 September 2022," 
 
 
 
 
 
Department of Science & Technology 
Government of India 
Department of Biotechnology 
Government of India 
IC-IMPACTS Centres of Excellence, 
Canada 
 
 
COLLABORATIVE RESEARCH PROJECT PROPOSAL 
 
Page 1 of 10 
India-Canada Joint Call for Proposals (CFP) 2022 
 
On 
 
BUILDING RESILIENT AND CARBON-NEUTRAL COMMUNITIES 
POST COVID 
 
Extended Deadline: September 14, 2022 (5:00 PM IST) 
 
The impact of COVID-19 has been felt disproportionally by remote and rural communities 
which prior to the pandemic had limited access to reliable infrastructure, secure food supplies, 
clean water and access to health facilities. As we enter the post COVID era, supply chains have 
become stressed, there is a back log of patients waiting for routine procedures and our food 
supplies have become less secure.  
Another serious problem the world faces today is Climate Change. Warmer temperatures over 
time are changing weather patterns and disrupting the usual balance of nature. This poses many 
risks to human beings and all other forms of life on Earth. Nearly all land areas are seeing more 
hot days and heat waves; 2021 was one of the hottest years on record. Higher temperatures 
increase heat-related illnesses and can make it more difficult to work and move around. 
Wildfires start more easily and spread more rapidly when conditions are hotter. Scientists have 
further predicted that long-term effects of climate change will include a decrease in sea ice and 
an increase in permafrost thawing, an increase in heat waves and heavy precipitation, and 
decreased water resources in semi-arid regions.  
In 2021, climate change triggered serious flooding, leading to the collapse of eight arterial 
bridges in British Columbia, Canada, due to landslides and scour, and submerged thousands of 
homes and debilitated remote communities. In the scenarios assessed, limiting warming to 
around 1.5°C requires global greenhouse gas emissions to peak before 2025 at the latest, and 
be reduced",15/07/2022,14/09/2022
India-Belarus Joint Call for Proposals," 
 
India-Belarus Joint Research Programme 
 
CLOSING DATE – 15th SEPTEMBER 2022 
Call for Proposals 2022-2024  
 
The Department of Science & Technology (DST), Govt. of India and the State Committee of 
Scientific Research of Belarus invite joint R&D project proposals from scientists & technologists 
from India and Belarus:  
 
The DST and the State Committee (hereinafter referred to as the “Implementing Agencies”) 
hereby invite Indian and Belarusian scientists/researchers to submit proposals for Joint 
Research Projects in following areas: 
 
(1) Information and Communication Technologies with focus on Artificial 
Intelligence, Internet of Things, Machine Learning, Cloud Services 
(2)  Biotechnology including Medicine and Pharmacy 
(3) New Materials with particular focus on (i) Additive Manufacturing (AM) (ii) 
Powder production for AM and Powder Metallurgy Components (iii) 
Nanostructured Materials (iv) Ceramic Materials (v) Functional coatings 
and thin films for various applications 
 
[A] APPLICATIONS 
(1) An Application shall - 
a) be for a Joint Research Project. 
b) be made simultaneously by a counterpart team in each country as hereinafter 
provided. 
c) be made by the Leader of a team of scientists in each country (Team Leader), to 
the respective Implementing Agency of his/her country, simultaneously. Both 
Applications shall be identical. Since all projects are joint projects, it is expected 
that consultations would have been held between relevant counterpart Institutions 
in the other country prior to the submission of an Application. 
d) be in English and shall be in the form prescribed by the relevant Implementing 
Agency. 
e) be required to be submitted by the dates set out below. 
f) Both Implementing Agencies will conduct parallel review of the applications 
respectively based on the agreed criteria. Implementing Agencies will make joint 
decisions based on the review results.  
g) List of selected projects will be posted on website www.dst.gov.",09/07/2022,15/09/2022
Call for Proposals on  Advanced Materials and Energy Storage Technology (AMEST)-2022," 
 
 
 
 
 
 
GENERAL INFORMATION AND FORMAT 
 
FOR SUBMISSION OF PROJECT PROPOSALS 
FOR FINANCIAL ASSISTANCE 
 
For 
 
 
 
 
Under 
(TECHNOLOGY MISSION DIVISION- Energy, Water & Others) 
 
 
 
 
GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE & TECHNOLOGY 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
TECHNOLOGY BHAVAN, NEW MEHRAULI ROAD 
NEW DELHI – 110 016 
ADVANCED HYDROGEN AND FUEL CELL PROGRAMME 
ADVANCED MATERIALS AND ENERGY STORAGE 
TECHNOLOGY (AMEST) PROGRAMME 
Last Date of Submission: 30th September, 2022 
2 | P a g e 
 
GENERAL INFORMATION 
 
The Department of Science and Technology (DST) is pleased to announce Advanced Materials 
and Energy Storage Technology (AMEST) Programme. The outcome of the call of this theme 
will lead to energy storage technologies ready for commercialization, with the perspective to 
capture specific systems integration opportunities.       
   
IDENTIFIED AREAS: 
 
Following areas have been identified and project proposals may be submitted for research 
development and demonstration under AMEST. 
 
 Innovative, Sustainable specific energy storage technologies, which are efficient, clean, 
high-energy density, low-cost, standalone or integrated for stationary mobile 
applications and electrical and electronic devices & appliances.  
 
 Self-reliance in energy storage systems is an important agenda to achieve the fossil fuel 
independence and to sustain green energy. The requirements of energy storage are 
application specific with importance to high level of safety and low cost. Some 
application demands High Power Density, some high energy density, some Fast 
Charging and some high cycle life. The lists of applications envisaged in the present call 
are the following: 
 
a. Electric Mobility: Safety, Fast Charging, High Energy Density, Decent Power 
Density, High Cycle life, Low Cost. 
b. Stationary Storage for Renewable Energy: Safety, High Power Density, Decent 
Energy Density, High Cycle Life, Low Cost. 
c. Electronic Toys: Safety, Fast Ch",01/07/2022,30/09/2022
Research & Technology Development for Blending of Agro-Residues with Coal in Thermal Power Plants - Date extended till 30 Sept 2022,"1 
 
 
Department of Science and Technology 
(Technology Mission Division-EWO) 
 
 
Call for Proposals 
 
Research & Technology Development for Blending of Agro-Residues with 
Coal in Thermal Power Plants 
 
1. Preamble 
In India, power is generated both from conventional and renewable sources. 
However, power generation through coal-based thermal power plants occupies 75% 
of the total power generation. The use of biomass especially agro-based with coal is 
an eco-friendly and cost-effective technique to deal with present environmental 
concerns. During combustion of Agro-Residues beyond a limit in coal-fired thermal 
power plants, safety is a cause of concern as it contains various volatile matter 
including Sulphur dioxide, nitrogen oxides and carbon monoxide, which pose a 
threat to stable operation of power plant. 
The ash generated from co-firing also needs to be utilized effectively. Scientific 
interventions are solicited to ensure that the resulting blend limits with coal shall 
increase while maintain plant output without damaging the boiler and balance of 
plant. 
2. Objectives of Call 
The objective of the call is to promote translational research utilizing available lab- 
scale know-how to consolidate research outputs to advance current technologies in 
the related field to deliver potential solutions to enhance the share of Renewable 
Energy for industrial and societal applications. Lead Principal investigator should 
have a research team to foster interdisciplinary, multi-institutional networked 
research projects synergizing strengths of respective partners to deliver efficient 
Technology to meet national needs in thermal power plant. The call envisages close 
interaction between industry, academia and research institutions. Participation of 
industrial collaborators from early stage is desirable to build long term linkage and 
take up leads to develop technologies that could eventually find a space in market 
place. The outcome of the scientific en",01/07/2022,30/09/2022
Call for SATHI proposal 2022 - Date Extended till 15 October 2022,"Ministry of Science & Technology  
Department of Science & Technology  
R&D Infrastructure Division  
******** 
“Sophisticated Analytical and Technical Help Institutes (SATHI) Program – 2022” 
 
(Through Networking and Cluster Approach) 
 
Proposals are invited through online for consideration of support under the Scheme “Sophisticated 
Analytical and Technical Help Institutes (SATHI)” of the Department of Science & Technology (DST), 
Government of India. SATHI Scheme is largely aiming at: (a) acquiring of high-end equipment and 
research infrastructure (RI) / facilities necessary for research/ testing/ manufacturing/ fabrication and to 
cater service by understanding the demands of researchers, scientists, students, start-ups, manufacturing 
units, industries and R&D Labs, (b) to provide access and sharing of scientific equipment and research 
infrastructure (RI), (c) Capacity building of scientific & technical manpower d) Monitoring of usage of 
expensive scientific research facilities for its maximum utilization and to be a part of ‘Atmanirbhar Bharat 
Abhiyan’ (Self Reliant India Campaign).  
 
Inclusive purpose of SATHI is generation/ creation of knowledge adopting best practices of such facility, to 
promote translational research in thematic areas and to take forward to next stage to gain better societal 
outreach. Predominantly it would emphasize on testing, designing, prototyping, proof-of concept, 
manufacturing, insertion of business planner, start-ups, MSME, related engineering industries and their 
back & forth connectivity from R&D to industry and to boost indigenous presence comprising all level 
together at local and global scale. Noticeably, this would encourage & ensure to establish a National 
Network of Laboratories and testing facilities, tightly linked to global standards. Hence higher efficacy of 
SATHI through focused approach of viz: Technology, Testing, Certification & Compliance (T2C2) model 
will boost-up the clusters of academia as well ",11/08/2022,15/10/2022
